Title,Authors,Date Read,Rating,Review,Format,Contributors,ISBN/UID,Read Status,Date Added,Last Date Read,Read Count
The Secret Life of Bees,Sue Monk Kidd,2021/12/30,10,"my thoughts: i believe that this book will always have a special place in my heart. the characters, the feelings, and the circumstances are something that everyone can relate to in one way or another. i think it was beautifully written showing the balance of good and bad in the world with an emphasis on our ability to create family by choice. when i finished this book i needed a second to process what happened and i hope that feeling is mutual with other readers. ",paperback,,9780142001745,read,2023/04/07,2021/12/30,1
Second First Impressions,Sally Thorne,2021/12/31,5,"my thoughts: i definitely liked this book, and my main thing against it is that the characters aren’t people that i can’t fully relate to. i think that’s the main thing barring me from a a greater connection. but i really liked everything else about it!",digital,,9780062912817,read,2023/03/28,2021/12/31,1
The Flatshare,Beth O'Leary,2022/01/01,6,"my thoughts: another good romcom book; i would recommend other books before it, but i liked it overall!",hardcover,,9781250295637,read,2023/03/28,2022/01/01,1
Ugly Love,Colleen Hoover,2022/01/12,9,,digital,,9781476753195,read,2023/03/28,2022/01/12,1
Tweet Cute,Emma Lord,2022/01/13,8,,digital,,9781250237330,read,2023/03/28,2022/01/13,1
You & Me at the End of the World,Brianna Bourne,2022/01/14,9,,digital,,B08XJKY43W,read,2023/03/28,2022/01/14,1
The Ex Talk,Rachel Lynn Solomon,2022/01/16,8,,digital,,9780593200131,read,2023/03/28,2022/01/16,1
Just Last Night,Mhairi McFarlane,2022/01/26,5,,digital,,9780063036864,read,2023/03/28,2022/01/26,1
All the Birds in the Sky,Charlie Jane Anders,2022/02/01,7,,hardcover,,9780765379948,read,2023/03/28,2022/02/01,1
The Worst Best Man,Mia Sosa,2022/02/11,9,,digital,,9780062909886,read,2023/03/28,2022/02/11,1
Who Do You Love,Jennifer Weiner,2022/02/19,10,"ahhhh this book. so good. i can’t even form words right now. i can tell this book will be one that i can’t stop thinking about. the characters are so well written and most times i don’t like character driven books but this book truly illustrated these beautifully-broken people. we could see their highs and lows when they were together and not. their lives were so separate yet indivisible. i cried several times notably when mr. sills said things. I think i felt every emotion while reading. this story was truly incredible to see these characters navigate race, social status, feelings, loss, work, fame, love, divorce, so much!!! I literally feel like i’ve read a biography of two people in one book. i loved seeing these characters grow from that fateful meeting in the hospital to the lives that they made themselves.",digital,,9781451617832,read,2023/03/28,2022/02/19,1
How to Fail at Flirting,Denise Williams,2022/02/23,7,,digital,,9780593101919,read,2023/03/28,2022/02/23,1
Today Tonight Tomorrow,Rachel Lynn Solomon,2022/03/06,9,"yesssss this book. love love love. such a good ya, enemies to lovers book. i loved seeing the complexities of the characters and their transformation of each other. i felt like we got to know them by them getting to know each other and truly be the characters which was so cool. i really like seeing them connect through their experiences with antisemitism and the desperation to prove themselves. i absolute loved the love note in the yearbook and the bench motif (so subtle yet so powerful) my one criticism is how fast it feels (over just one day) but i think the context of loving each other for a while makes it feel not weird. ahhhh so good just a lot of fun and ofc love",digital,,9781534440265,read,2023/03/28,2022/03/06,1
This Time Next Year,Sophie Cousens,2022/03/13,9,i was so sad for this book to end. i loved all the little easter eggs thrown in and way that the characters were “fated” to be together. i loved seeing her find herself before committing to someone and i’m also a sucker for characters who like to serve others. i originally didn’t love the one part where is was super cliche but ended up liking what the author did with it. i’m glad we got to see some of the complexities of the characters and really understand their backgrounds from their families. my request is that i really wish there was an epilogue and more pov from quinn. overall so much fun love love love want to know what happens next! (we’re on a good streak!),digital,,9780593191217,read,2023/03/28,2022/03/13,1
The Bride Test,Helen Hoang,2022/03/21,9,"the word that stuck in my mind about this book was: captivating. the character growth in this book was *chefs kiss* i absolutely adored the characters how supportive the side characters were. one thing that i thought was curious, i wasn’t really able to tell when they spoke english vs. Vietnamese. this book definitely reinforced how much i really like multiple povs. the perspective from a guy with autism was really interesting to me. the whole emotional feeling of “i can’t love” was really effective in adding tension and character development. i was kinda surprised about the limited reaction to Esme’s daughter Jade but i’m glad it didn’t blow up the entire ending if if i wish she’d told them sooner. this was such a sweet, and a little spicy, book and a solid read",digital,,9780451490834,read,2023/03/28,2022/03/21,1
The Layover,Lacie Waldon,2022/03/24,8,,digital,,9780593328262,read,2023/03/28,2022/03/24,1
Faker,Sarah Smith,2022/03/25,6,"my thoughts: 7/10 not a bad read. i felt like the first half was a lot better than the second half. the brooding tension between the pair lasted for 30 percent of the book and then its an awkward mush with the big climax that felt weird to me. I like the characters’ backgrounds and seeing the ethnical representation, and i thought the romance was well written, especially the slow burn aspect. I just felt like their bickering and “hate” for each other could’ve been drawn out a slight bit longer. Overall the story wasn’t bad and i enjoyed reading it, but it didn’t really strike me in a certain way like past books have.",digital,Sarah Echavarre Smith,9781984805430,read,2023/03/28,2022/03/25,1
The Dating Plan,Sara Desai,2022/03/27,8,"Very much like the last one i loved the characters, i loved the side characters, i liked the plot and premise and it was overall very fun to read. i liked that this one felt complex but there weren’t too many storylines to keep straight like last time. spicy scenes were *clears throat* well written. i liked knowing daisy from the previous book (she was layla and sam’s receptionist) but i felt like both layla and daisy were much different from what i pictured in the last book. i felt like i could relate more to daisy than layla and i liked that Liam’s drive felt more multifaceted. definitely had a fun time reading!",digital,,9780593100592,read,2023/03/28,2022/03/27,1
The Marriage Game,Sara Desai,2022/03/27,8,"my thoughts: 9/10 this book was so much fun!!! the characters were multifaceted and the side characters were awesome. i loved seeing layla’s confidence grow and i loved seeing sam let go of his past. so much happened in this book i don’t even think i covered it all but it kept the story and plot rich and full. i loved seeing the tension between the two when they finally hit their breaking point of hating to love it was *chefs kiss* the spice was, ahem, very well written. the cultural aspect of family and tradition and just all of it was a super fun read. i loved the multiple povs (especially when the guys is obsessed, in a good way, with the girl) it’s just amazing. loved this book.",digital,,9780593100578,read,2023/03/28,2022/03/27,1
The Trouble with Hating You,Sajni Patel,2022/03/28,7,"my thoughts 8/10: this book is a thinker. the characters are so broken and flawed and we see their actions being decided by their past. but we also see them grow from being with each other and accepting that the past is going to be a part of who they are but does not have to define them. the cultural aspect of arranged marriage, along with abuse and loss was all so sorrowfully mixed together in this book. the pain and grief from both liya and jay made their relationship even more special. i loved liya be a role model of independence but i also liked seeing her lean back on her supports. i was super impressed at jay’s persistence ngl. i loved the banter and hate they had at the beginning and seeing it transform into a formidable bond. truly a wonderful read and very profound message of love.",digital,,9781538733356,read,2023/03/28,2022/03/28,1
"First Love, Take Two",Sajni Patel,2022/03/29,7,my thoughts 8/10: another thinker! i absolutely loved this book and all the complexities it brought to the surface. the depiction of anxiety through Patel’s words was flawless and almost too realistic. the barriers of race and tradition and family blocking love were so eye opening and profound. i think it truly tackled these subjects like no other book i’ve read has. i absolutely loved the crossover from the previous book and would recommend reading it before this one (there’d be a lot of missing content) i think i liked this one better tho because of how i could relate to the overwhelming and consuming anxiety preeti felt. i’m such a huge fan of daniel and their relationship. the perseverance and their love was so beautiful and perfectly matched. i was hoping for some spice but the heated moments had to suffice for now (which i think was appropriate given the gravity of some of the topics) overall very thought provoking and i don’t think fun is the right word but i enjoyed reading this book even though it’s emotionally jarring.,digital,,9781538733387,read,2023/03/28,2022/03/29,1
The Soulmate Equation,Christina Lauren,2022/03/31,10,"my thoughts: 10/10 I loved this book so much. it was so much fun to read and the light hearted was was a perfect mood booster from the past few books. I am newly obsessed with River, he is absolutely adorable. i love juno and was glad that having a child didn’t take away from the story or the relationship. the ending proposal location felt so obvious to me and i was kinda mad at river for not figuring it out sooner but i love how it all ended. i will admit i wasn’t sure how they were going to add tension to a climax in the book and i would say that it was perfect intensity for the plot. (i kinda felt weird about river not saying anything for over a week, maybe only 5 days…idk but yeah) i loved how loving and supportive all the supporting characters were. there wasn’t an overwhelming number of awful people in their lives which made this story more pleasant and lighter which was much needed!! anyway, overall really good read (loved the spicy scenes they were..pretty good…) definitely would recommend! (",digital,,9781982123970,read,2023/03/28,2022/03/31,1
You Don't Live Here,Robyn Schneider,2022/04/01,7,"my thoughts 8/10: I thought that this book was extremely powerful. I’d really love if it became a classic that’s read in schools. I have loved past books by Robyn Schneider, and she never fails to blow me away with a thought provoking story. Although I don’t relate to Sasha, I feel like her story is a lot more common than people think and one worth sharing. I really appreciated reading and learning and seeing the life of someone who is bi through this lens. I leave a lot out in the synopsis, but i think that the story truly speaks for itself. highly recommend YA",digital,,9780062568144,read,2023/03/28,2022/04/01,1
The Wedding Date,Jasmine Guillory,2022/04/01,7,"my thoughts: 8/10 I ended up really liking this book! The climax was frustrating, but i think the beginning and end of the book make it worth it. i was really mad at the characters for being stupid at some points specifically all the assuming instead of just talking about it. ughhhhh!! i liked how cute they were and unashamed they were to be intimate (wished the scenes had been more graphic). i liked that race and gender were considered (although there were a few questionable moments) overall it was super fun and quick read!",digital,,9780399587672,read,2023/03/28,2022/04/01,1
Where the Crawdads Sing,Delia Owens,2022/04/09,7,"i feel so conflicted…i’m even sure what to write. i guess i’m pleased, but i still feel dissatisfied. nothing that comes to mind is coherent so i’ll leave my thoughts as conflicted but pleased. I really enjoyed the book, although i’m not sophisticated enough to appreciate all the imagery that owens used. i thought the complexity of Kya’s character was extremely well developed and i also liked hearing snippet of others’ povs. i liked the plot even though it left me confused. i don’t feel able to give it a high rating bc i don’t feel happy?",digital,,9780735219113,read,2023/03/28,2022/04/09,1
The Heart Principle,Helen Hoang,2022/04/12,7,"i liked this book. my main concern was how the characters made up…like i know the whole point was that she was able to be very vulnerable with him, but it felt weird..I also was really pissed at her family for being so unaccepting and insensitive. i love Quan, he’s so sweet and i’m so glad he got his happy ending finally. I really wish there was more of a crossover with this book and the bride test but I appreciated the crossover with the kiss quotient. I think it would’ve been really interesting to have the characters who have autism talk about and relate to one another. I really felt like I could relate to how Anna felt about perfectionism maybe not to the same intensity that she had it but I love to seeing her overcome that and stop trying to please people at every waking moment. I like seeing her come to accept herself the way that she is and seeing that support from Quan (he really is a sweetheart) I had fun with this one but I still think that I prefer the Bride Test.",digital,,9781838950811,read,2023/03/28,2022/04/12,1
Dating by the Book,Mary Ann Marlowe,2022/05/13,2,"This book took me way too long to finish, and I hate the mc. Ughhhh I felt that she was manipulative. While i can understand the argument that she was hurting or just learning, she is completely blind to social cues and doesn’t seem to care about people until they’re gone. Spoiler Section: She had like four different guys who liked her and she basically rejected all of them. Max being Silver fox sucks bc we never find out what happens to Charlie, like he literally stops existing. My very first inclination was TeamMax, but he was kinda controlling (but also he pours his heart to her and she’s like no) but also I like Charlie and wanted him to be Silver Fox. I can’t really explain what the defining feature of Maddie that I hate but she irks me sooo much and I hate her.",digital,,,read,2023/03/28,2022/05/13,1
The Switch,Beth O'Leary,2022/06/18,6,Leena was low key really annoying and the plot was relatively predictable. I like older Eileen she was a girl boss. Overall pretty average but not bad. (6/10),digital,,9781250295675,read,2023/03/28,2022/06/18,1
"Hook, Line, and Sinker",Tessa Bailey,2022/07/27,7,ahhhhhh the ending tho….just sex okay i want to like this book more than I do and maybe it’ll grow on me like its prequel. spice was excellent but the character growth was a weird journey. Like Fox has this deep rooted issues but these issues aren’t given the exposition needed for the reader to understand why he should overcome them. Also i was just kinda pissed that they couldn’t just be honest and be like “i’m so in love with you” but plot ig. i have to give the characters some credit bc they really are adorable together and there was some substance for example the idea of being forced into a stereotype and trying to break it and also finding confidence to be the main character but uhh yeah some of the characters actions confused me lol.,digital,,9780063045705,read,2023/03/28,2022/07/27,1
A Brush with Love,Mazey Eddings,2022/10/04,8,"i really enjoyed the complexity of the characters dealing with anxiety, grief, and guilt. i think it added a nuanced perspective to the relationship and the novel. dan was an absolute king and even tho harper had some stuff to work through she was admirable and kinda relatable. loved the slow burn, and while the ending was predictable/cliche i still found it enjoyable. (8/10)",digital,,9781250805997,read,2023/03/28,2022/10/04,1
Weather Girl,Rachel Lynn Solomon,2022/10/20,7,"i like weather girl for the most part. the spice was good, and slightly unexpected, i liked the mental health awareness piece and reverence to each person’s own journey. i thought the plot was sweet but i feel mostly neutral about the characters. (7/10)",digital,,9780593200155,read,2023/03/28,2022/10/20,1
Mr. Wrong Number,Lynn Painter,2022/10/21,8,definitely loved this book. the banter and enemies to lovers mwuah and the spice was not too bad either. clearly getting through it in a day is a testament to how much i enjoyed it. the colin beck was yummy to read about (even though his name is dorky). i think this was a lighter read with not a lot of emotional baggage on the characters which was a nice escape. i also liked the trope of not knowing each other to figuring it out. (8/10),digital,,9780593437278,read,2023/03/28,2022/10/21,1
The Spanish Love Deception,Elena Armas,2022/10/22,9,I DID NOT WANT THIS BOOK TO END. AARON BLACKFORD CAN TAKE ME SOUL. THIS BOOK WAS SOOOO GOOD. Everything was *mwuah* all the tropes and enemy to lovers energy plus the spice..Armas outdid herself and I’m excited for her next book. (9/10),digital,,9781668002537,read,2023/03/28,2022/10/22,1
No Saint,Ria Wilde,2022/10/23,7,"no saint: definitely a turn of genre; dark romance but didn’t hate it, enjoyed the spice; wasn’t the best writing but the “plot twist” was not what i had predicted (was very guessable tho; nothing crazy)",digital,,B0B1WX4P8M,read,2023/03/28,2022/10/23,1
Neon Gods,Katee Robert,2022/11/12,8,"this was a cute ya novel. hit a little hard with the mommy issues and the belief that her life could be a romcom was a little much, but wes was adorable and the fact that he’s always had feelings was predictably wonderful. i also dig the playlist at the end of the book (Nov 12 8/10)",digital,,9781728231747,read,2023/03/28,2022/11/12,1
Better Than the Movies,Lynn Painter,2022/11/12,8,"this was a cute ya novel. hit a little hard with the mommy issues and the belief that her life could be a romcom was a little much, but wes was adorable and the fact that he’s always had feelings was predictably wonderful. i also dig the playlist at the end of the book (Nov 12 8/10)",digital,,9781534467644,read,2023/03/28,2022/11/12,1
Electric Idol,Katee Robert,2022/11/15,8,"neon gods (Nov 12) & electric idol actually i really enjoyed these…uhhh didn’t know i might have a voyeurism kink but doing in front of mirrors? … many stayed for the spice, but i enjoyed that it was a retelling of mythology; also really dig the anti hero male mc solid reads",digital,,B08ZJSWR6Q,read,2023/03/28,2022/11/15,1
Book Lovers,Emily Henry,2022/11/18,9,"too good, i was so excited about this book. i thought the sister love was a little strong but not necessarily bad. i loved the grumpyxsunshine and the banter and the slow burn and angst. i think i still like beach read the best but nora and charlie were so so cute! (Nov 18 9/10)",digital,,9780593334843,read,2022/11/01,2022/11/18,1
Strictly Business,Carrie Elks,2022/11/19,9,"strictly business this was the book i didn’t know i needed. it was actually sooooo good and unexpectedly. i enjoyed the grumpy sunshine banter, the tension, and the plot wasn’t awful. the families were a little complicated but i thought it added to the story. i also found myself giggling at certain points and the characters are very likable. overall a solid romcom! (Nov 19 9/10)",digital,,B0B49TQ4JJ,read,2023/03/28,2022/11/19,1
The Rebel,Lena Hendrix,2022/11/23,8,the rebel felt like a it happened one summer vibes and wasn’t mad. i thought it was a cute story with a little more substance than the next three smut novels i read…but i like that the child was a foster kid and the plot wasn’t too bad until the end with the unnecessary third act break up,digital,,B0B2N59N56,read,2023/03/28,2022/11/23,1
Hard to Resist,"Willow Winters, Lauren Landish",2022/11/26,7,,paperback,,9781700795236,read,2023/03/28,2022/11/26,1
Under One Roof,Ali Hazelwood,2022/11/27,9,"under one roof actually so good: tension, pining, unspoken feelings bubbling below the surface, forced proximity, oblivious female mc, overall just love, and the last real chapter *chefs kiss* too short but love that it’s a series of three abt each friend and finally figured out what “novella” means",digital,,9780593437810,read,2023/03/28,2022/11/27,1
Stuck with You,Ali Hazelwood,2022/11/27,9,"stuck with you also sooo good: misunderstanding, basically soulmates, spicy/swoony, forced proximity, stem gal, friends to lovers to enemies to lovers, really solid read; i was worried but ended up liking the alternating timeline i thought it added to the suspense",digital,,9780593437827,read,2023/03/28,2022/11/27,1
Shipped,Angie Hockman,2022/11/29,8,"shipped: so much fun, so cute. Loved the enemies to lovers, and the combination between the unhoneymooners and the hating game. i loved the feminism and there wasn’t really a third act breakup (i felt like the conflict wasn’t the relationship). i’d consider ya but there were some heated moments. Graeme is a king but his name is so weird and henley is a girlboss also shout out to Marlen who seems like a great boss. ngl i wasn’t ready for it to end",digital,,9781982151607,read,2023/03/28,2022/11/29,1
Life's Too Short,Abby Jimenez,2022/11/30,9,"AHHHH THIS BOOK; MY HEART HAS BEEN STOLEN; I CANNOT THIS WAS TOO GOOD; IT WAS LIKE FIVE FEET APART WITH HEA, the original tension, the unspoken feelings (no third act break up? i thought it was more the climax) the heartbreak none the less, the sacrifices and mindset…ughhhh this book was so powerful; totally hit me where i wasn’t ready, just gut-wrenching yet sweet and all the feels",digital,,9781538715680,read,2023/03/28,2022/11/30,1
The Friend Zone,Abby Jimenez,2022/12/01,9,okay i like actually am falling in love with abby jimenez; this was so frustrating but so good…my mind is a flurry. i felt like the second half was a blur of trauma but the hea was worth it. i love the concepts that jimenez plays with—mixing the romance and love with the serious conversations of real life,digital,,9781538715628,read,2023/03/28,2022/12/01,1
Love at First Spite,Anna E. Collins,2022/12/02,6,"not gonna lie I was a little disappointed by this book. I didn’t like the third act conflict. I didn’t like the reasoning that was given for the conflict. I didn’t like the mc guy because he was so disinterested and his reasoning, for being distant was stupid. however, the first bit of the story was enjoyable until about the 45% mark. I just felt like they were so quickly friends and the enemies part wasn’t drawn out enough",digital,,9780369718747,read,2023/03/28,2022/12/02,1
It Starts With Us,Colleen Hoover,2022/12/04,10,"i think i need to sell my soul to colleen hoover…this book was everything and more. it was just so nice to see lily and atlas’s story especially after all that they went through as children and in the previous book. i loved that there wasn’t necessary a climax moment and there wasn’t any third act conflict. i loved that the characters were already destined to be together but we saw them work through obstacles of life before being able to truly be together. i also love josh and and theo and how they developed atlas’s character and added comedic relief. so so so so good, but wouldn’t expect anything less from coho",digital,,9781668001233,read,2023/03/28,2022/12/04,1
The Wedding Crasher,Mia Sosa,2022/12/06,8,very fun read! overall i really enjoyed the characters and the cameos from the previous book. my one complaint was that it was a little too wishy washy at times…or abrupt/predictable. i did enjoy the spice and the sass!,digital,,9780062909909,read,2023/03/28,2022/12/06,1
Just Haven't Met You Yet,Sophie Cousens,2022/12/07,7,"another very fun read! i enjoyed the mini cameo of this time next year! i felt like i could guess who she’d end up with and at some points the plot dragged (didn’t love that the annoying boss got an hea but whatever), but overall i liked the story and the message of stories and objects (plus who doesn’t love a meet cute)",digital,,9780593331538,read,2023/03/28,2022/12/07,1
Twice Shy,Sarah Hogle,2022/12/09,6,Welllll…gotta say wasn’t my fav. I ended up not minding the characters in the end (they weren’t my fav to begin with) but i can appreciate the social anxiety relatability and no third act break up. i think the mc was a little too quirky for me with her “head in the clouds” fantasy land personality but it was better than the other one in my opinion!,digital,,9780593085547,read,2023/03/28,2022/12/09,1
Hot Cocoa and Mistletoe,Elise Kennedy,2022/12/11,9,"this novella was perfect!! the enemies to lovers the forced proximity, the steam! i felt like it was over too fast (little fast paced not the slowest of burns) but very much enjoyed!!",digital,,9798215666777,read,2023/05/10,2022/12/11,1
Apple Cider and Subterfuge,Elise Kennedy,2022/12/11,9,this novella was also so cute!! i liked the forbidden romance and the friendship and the drama with being agents. reminiscent of peraltiago. so much fun! i thought the case was kinda silly but whatever lol,digital,,9798215458945,read,2023/05/10,2022/12/11,1
Not Here to Be Liked,Michelle Quach,2022/12/12,8,I loved the conversation that it invokes. it’s a conflict that I definitely had in my mind about what it is to be feminist and what’s the right action to take. didn’t like the principal but the mcs are cute (loved the Asian representation) I felt like I should’ve guessed the ending. solid ya novel.,digital,,9780063038394,read,2023/03/28,2022/12/12,1
The Bromance Book Club,Lyssa Kay Adams,2022/12/13,7,this book had me cackling…so so funny i enjoyed the emotional depth that it went into it and seeing the character transformations. i also liked that the spice was used an emotional aspect that was relevant in the relationship,digital,,9781984806109,read,2023/03/28,2022/12/13,1
Undercover Bromance,Lyssa Kay Adams,2022/12/15,8,"I think I liked this book better than the other one. I’m definitely a fan of enemies to lovers trope and I like how they incorporated a little suspense into the plot. overall, I really enjoyed the characters too.",digital,,9781984806123,read,2023/03/28,2022/12/15,1
Dating Dr. Dil,Nisha Sharma,2022/12/16,7,"I like this book. it was definitely the steam that I was expecting but I really enjoyed it so yeah. I also really like the idea of playing with the concept of what is love and if it’s an illusion, or if it’s something that truly exists (but the male mc was kinda dumb cinnamon roll lol)",digital,,9780063001114,read,2023/03/28,2022/12/16,1
The Devil's Deal,Lilian Harris,2022/12/17,6,this book was uhhh just (what i assume to be) typical mafia romance smut. not great but then again it’s just trashy smut where all the characters are traumatized,digital,,B092TPYF5B,read,2023/04/07,2022/12/17,1
The Ex Hex,Erin Sterling,2022/12/18,9,"okay why was this book actually so fun? wasn’t expecting the spice (not mad); loved the characters the banter, and the magic. definitely was a short fun read!!",digital,,9781472290274,read,2023/03/28,2022/12/18,1
Wait For It,Jenn McKinlay,2022/12/19,8,"i ended up liking it more than the middle. i felt like there was a lot of exposition but the slow burn was worth it. i also was wary about the lying by omission parts and awful coworker, but it ended up being worth the anxiety. liked the mc but also really appreciated the side characters solid read!",digital,,B08N6TVVPL,read,2023/03/28,2022/12/19,1
The Meeting Point,Olivia Lara,2022/12/22,8,I actually really enjoyed the serendipity in this book! Although the fmc was a little stupid and the mmc was a little goofy. (The fact that she was falling for Ethan meant that she didn’t have strong feelings for max who technically was Ethan and if Ethan valued his “friendship”…) If you take those out of the equation this book was really fun to read! Plus everyone loves a meet cute!,digital,,1838933190,read,2023/03/28,2022/12/22,1
Need Me,Tessa Bailey,2022/12/23,7,gotta say i enjoyed this book..the spice was great and at some point you kinda forget what the original exposition is lol. sucker for a HEA tho and i like that it’s a trilogy; wish i would’ve gotten my hands on the first one tho,digital,,9780062369086,read,2023/03/28,2022/12/23,1
Below Zero,Ali Hazelwood,2022/12/23,9,this novella was so good!!! the timeline was a tad convoluted but it was so sweet and i loved seeing all three couples together. i wished there was more time spent together between hannah and ian but i still love hazelwood and will likely read anything she gives the public,digital,,9780593437834,read,2023/03/28,2022/12/23,1
Make Me,Tessa Bailey,2022/12/25,6,"this book was low-key super complicated with the definition of their relationship and their reasoning wasn’t always sound, but the things people will do for love…pretty spicy and little naughty",digital,,9780062369093,read,2023/03/28,2022/12/25,1
Chase Me,Tessa Bailey,2022/12/27,8,"okay not mad at this one; (spice) plus, i really liked the characters and they had more reason than some of the others in this trilogy. i preferred the conflict of knowing the other’s intentions were good but feeling upset by a violation of trust",digital,,9780062369055,read,2023/03/28,2022/12/27,1
The Kiss Curse,Erin Sterling,2022/12/29,9,yayy! it was so cute to see vivi and rhys have their happy moments before seeing gwyn and wells story. this was super cute and while the climax was a little predictable and the resolution a little sketchy (like she just got her magic back what?) i thoroughly enjoyed,digital,,9780063027527,read,2023/03/28,2022/12/29,1
The Inheritance Games,Jennifer Lynn Barnes,2022/12/30,8,"oh man I really enjoyed this book. The puzzles are really good and I KNEW that harry had to be important. I gotta say I’m a little disappointed that I have to wait a whole nine weeks to read the next one and then probably another nine weeks before the third one, but I really enjoyed it",digital,,9781368053242,read,2023/03/28,2022/12/30,1
Water Under The Bridge,"Kels Stone, Denise Stone",2023/01/03,9,"Ohhhh man the stone sisters really nailed this one. Slow burn, no third act conflict, the angst and enemies to lovers, office romance and sweet supporting characters, all so so good (and we can’t forget the good spice either!) This was so worth the wait and I will definitely be reading the new few books in the series!",digital,,B0B3B78HGS,read,2023/03/28,2023/01/03,1
Things We Never Got Over,Lucy Score,2023/01/03,9,"I absolutely adored this book. All the angst at the beginning….so good. Was Knox a complete asshole? Yes. Did he eventually make up for it? Also yes (keyword eventually). wasn’t expecting the thriller aspect…but kinda have mafia romance vibes and i didn’t hate it. Loved Way and Naomi, the spice, the supportive characters like stef and Liza, great way to start the year",digital,,9781945631849,read,2023/03/28,2023/01/03,1
